1,Titre0,niveau1,niveau2,niveau3,niveau4,niveau5,niveau6,niveau7,niveau8,niveau9,niveau10,,,,,,,
301,Gaz et pression,L'air est un mélange de diazote(4/5) et de dioxygène (1/5),Le dioxygène est nécessaire à la vie des animaux et des plantes.,La pression représente l'énergie donnée par les molécules d'un fluide (liquide ou gaz) lors des collisions contre un objet.,La pression atmosphérique est de 101 300 Pa soit 1bar,La pression est une grandeur qui se mesure avec un manomètre.(on dit aussi baromètres ou pressiomètre). La pression s'exprime en Pascal,La pression est une force par unité de surface. On peut la calculer par la relation P=F/S où F est la force perpendiculaire à la surface S.,La pression dans un liquide au repos augmente avec la profondeur.,"Plus la pression augmente, plus on peut dissoudre de gaz dans un liquide.",Une mole de n'importe quel gaz occupera toujours 24L à 20°C et à pression atmosphérique.,"A température constante, le produit du volume et de la pression reste identique pour une quantité de gaz donnée. C'est la loi de Boyle-Mariotte.",,,,,,,
330,Trajectoire,Le point de vue de l'observateur sera appelé référentiel.,Un mouvement sera perçu différemment selon le référentiel. Le mouvement est donc relatif au référentiel.,Un translation préserve l'orientation par rapport au référentiel tandis qu'une rotation est le mouvement autour d'un axe.,La durée d'un mouvement ne se mesure pas de la même façon selon la précision nécessaire.,,,,,,,,,,,,,
333,Force,L'inertie est le fait de continuer son mouvement en ligne droite et à la même vitesse si rien ne s'y oppose.,Une force peut modifier la vitesse et la trajectoire d'un corps.,Une force se représente par une flèche partant du point d'application dont la longueur dépend de l'intensité de la force.,"Plus la masse d'un corps est importante, plus son inertie l'est aussi.",,,,,,,,,,,,,
335,Attraction gravitationelle,Tous les objets qui ont une masse attirent les autres objets qui ont une masse.,"La gravitation, comme les autres forces, est une action mutuelle. Quand deux corps s'attirent via la gravitation, le premier attire le second autant que le second attire le premier.","Plus la masse est importante, plus l'attraction gravitationnelle est importante.","Plus les objets massifs sont loin, moins la force gravitationnelle qui les attire est forte.","La gravitation est la force organisant le mouvement des planètes,des étoiles et des galaxies entre elles.",Le poids est l'attraction qu'une planète fait ressentir à tout corps à sa surface.,Le poids est une force et s'exprime en Newton. Cette grandeur est différente de la masse.,P=m.g Le poids(en N) est le produit de la masse (en kg) et de l'intensité de la pesanteur (en N/kg) .,"L'intensité de la pesanteur (g) dépend de la planète ou du satellite étudié. Plus la planète sera grosse et dense, plus g sera grand.",La force de gravitation universelle se calcule par F=G.m1.m2/(d²),,,,,,,
337,Système solaire,Toutes les planètes du système solaire tournent autour du Soleil.,Les satellites des planètes gravitent autour des planètes. La Lune tourne autour de la Terre sur une orbite inclinée par rapport à l'orbite de la Terre autour du Soleil.,Toutes les planètes sont attirées par le Soleil mais restent à distance à cause de l'inertie qui les entraîne loin du Soleil.,,,,,,,,,,,,,,
340,Energie mécanique,"Un objet possède une énergie de position proportionnelle à sa hauteur,on la nommera Energie potentielle de pesanteur.","L'énergie cinétique est l'énergie de la vitesse, elle n'existe que si l'objet a une vitesse.",Les énergies se mesurent en Joule (J).,"Au cours d'une chute sans frottement, l'énergie potentielle diminue autant que l'énergie cinétique augmente.",La somme des énergies potentielles et cinétiques se nomme l'énergie mécanique.,"L'énergie cinétique est égale à la moitié du produit de la masse par la vitesse au carré. Ec=0,5.m.v²","L'énergie cinétique croît plus rapidement que la vitesse, la distance de freinage augmente avec l'énergie cinétique.",,,,,,,,,,
345,Caractériser un mouvement,Mesurer une longueur avec précision,Mesurer un déplacement,Mesurer ou calculer une durée,Mesurer/calculer une vitesse,Calculer une accéleration,Utilisation de vecteurs,"addition, produit scalaire,projection",logiciel de pointage,,,,,,,,,
350,Ondes mécaniques,Les ondes mécaniques se propagent grâce aux molécules qui vibrent de proches en proches.,Le son se propage dans l'air à environ 340m/s.,Les fréquences sonores vont des infrasons aux ultrasons en passant par les fréquences audibles.,,,,,,,,,,,,,,
401,Matière et lumière,Un objet émettant de la lumière est appelé émetteur ou source primaire de lumière.,Un objet diffuse la lumière qui l'éclaire.,Un objet peut absorber certaines couleurs et en transmettre d'autres: ce sont des filtres colorés.,Un objet peut absorber certaines couleurs et en diffuser d'autres.,La couleur d'un objet dépend des rayonnements qu'il diffuse et donc de la lumière qui l'éclaire.,"Quand un objet absorbe de la lumière, il transforme très souvent cette énergie en chaleur.",,,,,,,,,,,
410,Propagation lumineuse,"La lumière se propage dans le vide et les milieux transparents (l'air, le verre…)",La lumière se propage de façon rectiligne (dans un milieu uniforme).,Le trajet rectiligne de la lumière peut être modélisé par le rayon lumineux.,La vitesse de la lumière dans le vide est de 300 000 km/s.,Une année de lumière correspond à la distance que parcourt la lumière en une année. C'est une unité pratique en astronomie.,"Quand on reçoit un signal lumineux venant de très loin, il a été envoyé il y a très longtemps. Voir loin, c'est voir dans le passé.",Un rayon passant d'un milieu transparent à un autre peut changer de direction. On appelle ce phénomène la réfraction.,"L'angle du rayon refracté dépend de l'indice de réfraction, noté n.","La loi de Snell-Descartes lie l'angle incident, l'angle réfracté et les deux indices des milieux par la relation n<sub>1</sub> . sin(i<sub>1</sub>) = n<sub>2</sub> . sin(i<sub>2</sub>)","Dans certains cas, il arrive qu'un rayon arrivant sur un milieu transparent soit entièrement réfléchi, c'est la réflexion totale.",,,,,,,
412,géométrie,Notions simples de géométrie,Axe orienté et mesures algébriques,,,,,,,,,,,,,,,
415,Ombre,Une ombre est une zone non éclairée qui apparaît sombre par rapport à ses alentours qui sont éclairés.,Une source lumineuse ponctuelle et un objet opaque déterminent deux zones:une zone éclairée et une zone d'ombre.,Une ombre apparaît sur la face d'un objet éclairé sur l'autre face. C'est l'ombre propre.,La projection sur une surface de l'ombre d'un objet s'appelle l'ombre portée.,"Lorsque la Lune est nouvelle(elle n'est pas visible),on voit l'ombre propre de la Lune. Les croissants de Lune sont dûs à l'éclairage oblique par le Soleil.",Les éclipses solaires et lunaires surviennent quand l'ombre portée de la Lune se voit sur la Terre et inversement.,,,,,,,,,,,
420,Lentille convergente,Une lentille convergente fait converger les rayons lumineux et a les bords plus minces que le centre.,La lentille convergente fait apparaître les objets plus gros.,Une lentille convergente fait converger les rayons lumineux venant de loin en son foyer.,La distance entre le centre de la lentille et son foyer est appelé distance focale.,Une lentille convergente permet d'obtenir une image renversée sur un écran.Cette image ne sera nette que dans certaines positions.,,,,,,,,,,,,
424,Lentille divergente,Une lentille divergente permet de faire diverger les rayons lumineux et a des bords plus épais que son centre.,La lentille divergente fait apparaître les objets plus petits.,,,,,,,,,,,,,,,
430,Vision,Un objet ne peut être vu que si l'oeil reçoit de la lumière qui provient de cet objet.,Une lumière trop intense peut endommager l'oeil. Le laser et le soleil ne doivent pas être regardés directement.,"Pour voir, nous avons besoin des capteurs de lumière sur la rétine pour envoyer l'information lumineuse au cerveau via le nerf optique.","Le cristallin est équivalent à une lentille convergente, il sert à former une image sur la rétine.",Il existe des ondes de même type que la lumière qu'on ne voit pas.Ce sont les ondes electro-magnétiques.,L'ensemble des ondes électromagnétiques que l'on voit s'appelle le spectre visible.,"Nous avons à l'interieur de l'œil des capteurs (les cônes) sensibles au rouge, au vert et au bleu.","Le cristallin peut se déformer et changer de distance focale en fonction de l’objet observé, c’est l’accomodation.","Les lentilles déviant les rayons lumineux, on peut les utiliser pour aider les yeux malvoyants. Les lentilles sont les constituants principaux des lentilles de contact et des lunettes.",,,,,,,,
440,Spectres,"Le spectre de la lumière solaire est continu, il va du rouge au violet sans interruption.","On peut créer toutes les couleurs à partir des 3 rayonnements rouge,vert et bleu,on parle de synthèse additive.",La lumière blanche est l'addition de toutes les lumières colorées du spectre visible.,La couleur d'une lumière monochromatique dépend de sa longueur d'onde.,Un objet chauffé va produire un spectre lumineux continu dont la longueur d'onde la plus intense est fonction de la température.,Un prisme peut disperser la lumière en ses différentes longueurs d'onde car chacune a un indice différent.,"Quand la lumière passe à travers un gaz, certaines longueurs d'ondes sont absorbées.","Quand on donne de l'énergie à un gaz, il produira de la lumière à certaines longueurs d'ondes particulières.",,,,,,,,,
501,Molécule,Les éléments(ou atomes) sont les constituants de toute la matière connue.,Les atomes sont symbolisés par une ou deux lettres dont la première est en majuscule et la seconde en minuscule.,Une molécule est formée d'atomes liés entre eux.,,,,,,,,,,,,,,
510,Constitution atomique,Les éléments sont constitués d'un noyau lourd chargé positivement autour duquel tournent des électrons chargés négativement.,On reconnait l'élément à son nombre atomique(Z) correspondant au nombre de charges positives dans son noyau.,Les atomes sont des éléments qui ont autant de charges positives que de charges négatives.,"L'atome est 10 000 fois plus gros que son noyau, l'atome est donc essentiellement constitué de vide.",Le noyau est constitué de protons chargés positivement et de neutrons qui ne possèdent pas de charges électriques.,Le nombre de masse (A) indique le nombre de constituants du noyau (aussi appelés nucléons).,La masse d'un atome dépend de son nombre de masse car les nucléons pèsent bien plus que les électrons.,"Quand deux éléments identiques ont des nombres de masse différents, on dit qu'ils sont isotopes.","La charge des protons et des électrons a pour valeur absolue 1,6.10<sup>-19</sup>Coulombs",,,,,,,,
512,Réactions nucléaires,Le noyau des atomes contient de l'énergie,La fission nucléaire est l'éclatement d'un noyau très lourd en plusieurs plus léger.,La fission d'un noyau ne peut se prévoir que statistiquement.,La fusion nucléaire est le rassemblement de plusieurs petits noyaux en un plus gros.,,,,,,,,,,,,,
520,Couche électronique,Les électrons se répartissent par couches.,Un élément sera plus stable s'il a sa couche externe complète.,Les éléments d'une même famille chimique ont des propriétés similaires.,,,,,,,,,,,,,,
530,Ions,Les ions sont des atomes qui ont gagné ou perdu un/des électrons.,"Les ions possèdent toujours une charge indiquée en exposant(exemple: Na<sup>+</sup>, Fe<sup>2+</sup>, Fe<sup>3+</sup>, Cu<sup>2+</sup>, Cl<sup>-</sup>)","Dans les solutions aqueuses, ce sont les ions qui transmettent le courant électrique en se déplaçant.",,,,,,,,,,,,,,
532,Sécurité,Avoir une tenue adaptée,Aménager un espace dégagé,Manipulation du matériel,Adopter les bons gestes.,,,,,,,,,,,,,
540,Acidité,"Le pH est une échelle de 0 à 14 indiquant le caractère acide ou basique d'une solution. Le pH sera dit neutre (ni acide, ni basique) à 7 . Au dessous, il sera acide, au dessus, il sera basique.","Les ions H<sup>+</sup> sont responsables de l'acidité d'une solution. Plus ils sont nombreux, plus la solution est acide et aura un pH faible.","Les ions OH<sup>-</sup> sont responsables de la basicité d'une solution. Plus ils sont nombreux, plus la solution sera basique et aura un pH élevé.",Les produits acide ou basique concentrés sont dangereux.,L'acide chlorhydrique contient des ions hydrogènes(H<sup>+</sup>) et des ions chlorures(Cl<sup>-</sup>).,,,,,,,,,,,,
550,Métaux et courant électrique,"Les métaux les plus courants sont le Fer, le Zinc,le Cuivre, l'Aluminium, l'Argent et l'Or.",Les métaux sont constitués d'un seul type d'atome.,Les charges opposées s'attirent et le charges de même signe se repoussent.,"Dans les solides, le courant électrique est dû à un déplacement d'électrons.",Les metaux sont de bons conducteurs car ils possèdent des électrons faiblement liés à leur noyau.,"Les électrons vont du - au +, soit dans le sens opposé au courant électrique.",,,,,,,,,,,
601,Masse et volume,La masse représente la quantité de matière d'un objet.,Toutes les molécule d'eau sont identiques et ont la même masse,Le volume  représente la portion d'espace occupé par un objet.,1 litre d'eau liquide pèse 1 kilogramme.,La masse volumique est le rapport de la masse sur le volume.,La densité compare la masse volumique d'une espèce chimique à celle de l'eau.,,,,,,,,,,,
603,Manipuler en chimie,nommer la verrerie et les instruments de mesure,Effectuer une pesée,Mesurer un volume,Schématiser une expérience,Chromatographie,,,,,,,,,,,,
610,Energie et température,Les molécules s'attirent entre elles et peuvent facilement se transmettre de l’énergie en se heurtant.,"Quand on donne de l’énergie à une molécule, elle s’agite davantage.","Plus la température est haute,plus les molécules bougent vite. La température se mesure en degrès Celsius (°C).",Une molécule a besoin d'une certaine agitation pour pouvoir échapper à l'attraction des autres molécules.,L'eau pure gèle à 0°C et se vaporise à 100°C à la pression atmosphérique.,Les changements d'états absorbent ou donnent de l'énergie.,Les changements d'états ne se produisent pas à la même température quand on change la pression.,,,,,,,,,,
612,Etats,"Dans un solide, les molécules sont liées les unes aux autres et ne peuvent bouger les unes par rapport aux autres.","Dans un liquide,les molécules peuvent bouger les unes par rapport aux autres.",Les liquides ont leur surface libre horizontale.,Dans un gaz les molécules s'entrochoquent entre elles. Elles vont très vite.,"Les gaz occupent tout le volume offert, on peut donc les compresser et les expanser facilement.",Un volume de gaz possède une masse.,"Si on agite les molécules d'eau à l'état solide, elle vont fondre(passer à l'état liquide) puis se vaporiser (passer à l'état gazeux).","Si on refroidit de la vapeur d'eau, elle va se liquéfier(passer à l'état liquide) puis se solidifier (devenir solide).","Lorsque l'eau change d'état, le nombre de molécules reste le même, la masse est donc conservée.<br/> Par contre, elle ne s’organisent pas de la même façon, le volume occupé est donc différent.","Une fumée est constituée de solides (assez gros pour être visibles) , ce n'est donc pas un gaz.",,,,,,,
615,Eau,Le sulfate de cuivre anhydre(sec) passe de blanc à bleu en présence d'eau.,"L'eau est omniprésente, notamment dans les boissons et les êtres vivants.",Les nuages viennent de l'évaporation de l'eau en mer et sur les continents.,"L'eau sur les continents vient des nuages sous forme de pluie, de grêle ou de neige.",,,,,,,,,,,,,
620,Corps pur,Un corps pur ne contient qu'un seul type de molécules.,Un mélange contient plusieurs types de molécules différentes.,,,,,,,,,,,,,,,
622,Solution,"Un solide capable de se dissoudre dans un liquide est qualifié de soluble. Sinon, il est insoluble.","Une solution désigne un liquide qui contient plus d'un corps pur.Lors d'une dissolution, on appellera le liquide le solvant et le solide qui se dissout le soluté.",La masse d'une solution est la masse du solvant plus celle des solutés.,"Lors d'une dissolution, les molécules du soluté se détachent les unes des autres.",Une solution saturée contient trop de soluté par rapport à la possibilité d'absorption du solvant.,La dissolution d'un soluté ionique donnera une solution neutre contenant des ions.,,,,,,,,,,,
624,Mélange hétérogène,On peut voir plusieurs constituants dans un mélange hétérogène.,La décantation permet de séparer les composants solides d'un liquide en les laissant tomber au fond sous l'action de leurs poids.,"La filtration permet de retenir tout ce qui est plus gros que les mailles du filtre, les solides en général.",,,,,,,,,,,,,,
626,Mélange homogène,On ne peut pas distinguer les différents constituants d'un mélange homogène. Il paraît n'être constitué que d'un seul constituant.,"Une eau d'apparence homogène peut contenir des substances autres que l'eau.(solides ou gaz dissous,liquide miscible)","L'eau et certains liquides sont miscibles, cela signifie qu'on peut les mélanger.","Quand on distille une eau, on sépare l'eau pure (rien d'autre que des molécules d'eau) de tout le reste (minéraux...).",L'eau de chaux se trouble lorsqu'elle est en présence de CO<sub>2</sub>.,"La chromatographie permet de séparer les différents constituants d'un mélange homogène grâce au fait que chaque composant ""adhère"" différemment à la plaque.",Les méthodes d'extraction et de séparation visent à séparer plusieurs espèces chimiques présentes dans un mélange.,"Pour identifier un produit, on compare les propriétés d'une espèce chimique aux propriétés de l'espèce chimique qu'on cherche.",La distillation fractionnée permet de séparer les molécules en fonction de leur température d'ébullition.,,,,,,,,
630,Concentration,La concentration massique indique la masse de soluté présente dans un litre de solution. Son unité est le g/L,Une mole représente un groupe de 6.10<sup> 23</sup> éléments de même nature.,La concentration molaire indique le nombre de moles de soluté présent dans un litre de solution. Son unité est le mol/L,La masse molaire (M) indique la masse d'une mole d'une espèce chimique.,La masse molaire d'une molécule est la sommes des masses molaires des atomes qui la composent.,L'action d'un médicament dépendra de la formule du principe actif et de sa concentration.,Une dilution ne change pas la quantité de matière d'une espèce chimique mais diminue sa concentration.,,,,,,,,,,
640,Formule,La formule brute d'une molécule indique le nombre d'atomes présents dans la molécule. On indique le symbole de l'atome suivi de sa quantité en indice.(pas de chiffre indiqué signifie 1),"Pour indiquer combien de molécules sont présentes, on met un chiffre devant la formule brute de la molécule.",La formule développée représente toutes les liaisons présentes entre les atomes de la molécule.,La formule semi-développée équivaut à la formule développée sauf qu'on ne représente pas les liaisons avec l'hydrogène.,Deux molécules ayant des formules brutes identiques et de formules semi-développées différentes seront appelées isomères.,"Certains agencement d'atomes confèrent aux molécules des propriétés particulières, on les appelle des groupes fonctionnels.",,,,,,,,,,,
645,Molécules organiques,"Les molécules organiques sont les molécules constituant les êtres vivants, elles sont composées de squelettes carbonées.",Les lipides sont souvent constitué d'acides gras qui sont apolaires.,Une molécule amphiphile est une molécule qui possède une partie polaire et une partie polaire.,,,,,,,,,,,,,,
650,Réaction chimique,"Quand plusieurs molécules échangent des atomes ou des liaisons chimiques, on parle de réaction chimique.","Lors d'une réaction chimique, les atomes des réactifs se réarrangent pour former les produits. La quantité de réactifs diminue donc et la quantité de produits augmente.",L'équation de la réaction précise le sens de la transformation. La flèche va des réactifs aux produits.,"Pour qu'une équation puisse être réelle, on doit s'assurer qu'elle soit équilibrée.","Comme tous les atomes sont conservés au cours d'une réaction chimique, la masse totale est conservée.","Pour connaître les quantitées de réactifs et de produits lors d'une réaction, on indique les quantités de chaque espèce chimique sous l'équation-bilan.",,,,,,,,,,,
654,Oxydation,Une oxydation se produit quand une espèce chimique perd une partie de sa charge électrique négative.,"A part la photosynthèse, toute l'énergie chimique récupérée par les êtres vivants passe par l'oxydation des nutriments qu'ils consomment.",Oxydant/réducteur,,,,,,,,,,,,,,
655,Combustion,"Pour qu'une combustion ait lieu,il faut un combustible, un comburant (dioxygène de l'air) et une source de chaleur.On parle de triangle du feu.",La combustion du carbone consomme du dioxygène et produit du dioxyde de carbone.,La combustion du méthane(ou du butane) consomme du dioxygène et produit du dioxyde de carbone et de l'eau.,La combustion libère de l'énergie.,Certaines combustions peuvent être dangereuses car très rapides. On dit qu'elles sont explosives.,Certaines combustions peuvent être incomplètes et libérer des produits dangereux pour la santé.(monoxyde de carbone CO),,,,,,,,,,,
660,Synthèse,Il est possible de réaliser la synthèse d'espèces chimiques déjà existantes dans la nature.,"Il est possible de réaliser la synthèse d'espèces chimiques n'existant pas dans la nature. Ces espèces seront dites ""artificielles"".","Le nylon, comme les matières plastiques est constitué de polymères (grandes molécules contituées de la répétition de petites molécules)",,,,,,,,,,,,,,
701,Geométrie,Un repère permet de déterminer les coordonnées d'un point ou d'un segment.,"Propriétés des figures géométriques simples en 2D (triangles, quadrilatères et cercles)","Représentation de fonctions,équation de droites",Une figure est symétrique lorsqu'elle répète une même forme de façon régulière.,"Propriétés des figures géométriques simples en géométrie 3D(parallélépipèdes,pyramides, cônes et sphères)
Aire et volume",Théorème de Phytagore et de Thalès,"Trigonométrie: cosinus, sinus et tangeante","Vecteurs:translation, égalité,somme, produit,coordonnées",,,,,,,,,
711,Statistiques,Statistique descriptive et analyse de données,"caractéristiques de position et de dispersion,variance, écart-type",Synthèse de l'information et représentation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
903,Réaliser test/mesure,Observer les règles de sécurité,Suivre un protocole,Réaliser une mesure,Identifier les risques,Elaborer un protocole,Organiser son poste de travail,Estimer la précision d'une mesure,Optimiser les conditions de mesure et mesurer avec précision,,,,,,,,,
905,Interpréter test/mesure,Associer les unités aux grandeurs correspondantes,Vérifier la cohérence des résultats obtenus,Avoir l'esprit critique vis-à-vis de ses résultats,Utiliser du vocabulaire de la métrologie,Percevoir la différence entre réalité et simulation.,,,,,,,,,,,,
907,Démarche inductive,Décrire les différentes étapes d'un phénomène,Trouver les points communs aux observations et formuler une hypothèse,Décrire le comportement d'une grandeur en fonction d'une autre,Déduire de ma conclusion une loi générale,Traduire une loi par une formule,Utiliser une analogie,Proposer une modélisation,,,,,,,,,,
909,Démarche déductive,Faire une prédiction à partir des données de départ.,Confronter le résultat expérimental au résultat attendu,Valider ou invalider une hypothèse ou une loi,Justifier un protocole ou un dispositif experimental,Rectifier l'hypothèse de départ et l'argumenter,Argumenter la rectification,Proposer des améliorations pour une modélisation/un dispositif.,Utiliser une formule pour prédire des résultats,Concevoir une expérience de vérification,,,,,,,,
909,Résoudre un problème,Identifier un problème,Emettre des hypothèses,Argumentation,Déduire de ma conclusion une loi générale,Réponse au problème,,,,,,,,,,,,
920,Grandeurs et unités,Exprimer un résultat numérique,Unités SI,Exprimer un nombre en écriture scientifique,multiples et sous-multiples,Comparaison de deux grandeurs,,,,,,,,,,,,
925,Tableau,Compléter un tableau à une entrée,Savoir repérer des variations dans les valeurs d'un tableau,Savoir remplir un tableau à deux entrées,Savoir quand créer un tableau,Utiliser un tableur pour y ranger des données.,,,,,,,,,,,,
928,Proportionnalité,Reconnaïtre une situation de proportionnalité,Coefficient de proportionnalité,Pourcentage et fraction,,,,,,,,,,,,,,
930,Calcul,Savoir écrire une égalité/une inégalité,Savoir réaliser des calculs mentaux simples,Connaitre les règles de priorité.,Etre critique vis-à-vis de ses résultats,Utiliser une calculatrice sans erreur,"Calculer des effectifs, des fréquences, des moyennes",Calculer avec les puissances de dix,Utiliser le bon nombre de chiffres significatifs.,Calcul littéral,Utilisation avancée des unités,,,,,,,
932,Angle et projections,"Connaître les relations cos, sin et tan ds un triangle rectangle",Savoir calculer un angle grâce à la trigonométrie,Savoir projeter un vecteur sur un axe,,,,,,,,,,,,,,
934,Représentation,Dessiner des observations,"Mettre une légende, un titre voire une échelle",Faire un schéma en respectant les conventions,Savoir reconnaître des formes géométriques,"Calculer une longueur, une surface,un volume,",Réaliser un montage à partir d'un schéma,Comprendre la signification d'une représentation,Indiquer les flux sur un schéma,Réaliser un diagramme,,,,,,,,Indiquer les gradients sur un schéma
937,Graphique,Placer des points sur une échelle graduée,Acquérir des données à partir d'un graphique,Décrire l'évolution d'une grandeur,Construire un graphique point par point,Choisir l'échelle des axes d'un graphique,Donner la pente d'une fonction affine,Utiliser les outils d'analyse d'un grapheur pour une courbe,Reconnaitre une fonction.,Lien fonction/réalité physique,,,,,,,,
939,Fonctions,Les fonctions constantes,La fonction linéaire,La fonction affine,La fonction inverse,La fonction carrée,Fonctions trigonométriques,,,,,,,,,,,
940,Informatique,Gérer un espace de stockage,Imprimer,Réseau: accés et bonne utilisation,Traitement de texte/diaporama,Utilisation d'un tableur-grapheur,Naviguer sur Internet,Envoi de courrier électronique,Tracer un graphique à l'aide d'un tableur-grapheur,choix des abscisses/ordonnées,,,,,,,,
